region,date,year,month,mean_ndvi,median_ndvi,stress_share,high_health_share,valid_pixels,bbox
California Central Valley,2006-01-01,2006,1,0.38322216272354126,0.4088500142097473,0.373394640875218,0.15217218963056922,25228,"-122.8,35.0,-118.2,40.4"
California Central Valley,2006-02-01,2006,2,0.42059722542762756,0.4688499867916107,0.33039013575012643,0.23699871640281614,25709,"-122.8,35.0,-118.2,40.4"
California Central Valley,2006-03-01,2006,3,0.42884954810142517,0.491349995136261,0.33487486398258975,0.28283848904088293,25732,"-122.8,35.0,-118.2,40.4"
California Central Valley,2006-04-01,2006,4,0.46141964197158813,0.5288500189781189,0.2905110626363353,0.3644047990028046,25672,"-122.8,35.0,-118.2,40.4"
California Central Valley,2006-05-01,2006,5,0.4646610617637634,0.4988499879837036,0.24516053341676117,0.2963122286965703,25571,"-122.8,35.0,-118.2,40.4"
California Central Valley,2006-06-01,2006,6,0.4260336756706238,0.42384999990463257,0.30346753548987665,0.21084477542471491,25782,"-122.8,35.0,-118.2,40.4"
California Central Valley,2006-07-01,2006,7,0.4131280183792114,0.4013499915599823,0.3452358073567283,0.21113118345697043,26017,"-122.8,35.0,-118.2,40.4"
California Central Valley,2006-08-01,2006,8,0.40495410561561584,0.38635000586509705,0.3624807987711213,0.20145929339477728,26040,"-122.8,35.0,-118.2,40.4"
California Central Valley,2006-09-01,2006,9,0.3916899561882019,0.3713499903678894,0.38335701393955685,0.17760454667639491,26041,"-122.8,35.0,-118.2,40.4"
California Central Valley,2006-10-01,2006,10,0.38718193769454956,0.3638499975204468,0.38303924960596625,0.1664167916041979,26013,"-122.8,35.0,-118.2,40.4"
California Central Valley,2006-11-01,2006,11,0.38801711797714233,0.3638499975204468,0.38428434197886646,0.17917387127761766,26025,"-122.8,35.0,-118.2,40.4"
California Central Valley,2006-12-01,2006,12,0.3900189995765686,0.3788500130176544,0.3826880147794627,0.18747594488492034,25982,"-122.8,35.0,-118.2,40.4"
California Central Valley,2007-01-01,2007,1,0.3685072064399719,0.3638499975204468,0.4142718634865232,0.1545472173744425,25785,"-122.8,35.0,-118.2,40.4"
California Central Valley,2007-02-01,2007,2,0.3984047472476959,0.41635000705718994,0.3725717823697856,0.19820447333797694,25842,"-122.8,35.0,-118.2,40.4"
California Central Valley,2007-03-01,2007,3,0.4271968603134155,0.4688499867916107,0.3430651281654147,0.29369627507163326,25826,"-122.8,35.0,-118.2,40.4"
California Central Valley,2007-04-01,2007,4,0.4303171634674072,0.4613499939441681,0.3274699728787292,0.2841921735761333,25810,"-122.8,35.0,-118.2,40.4"
California Central Valley,2007-05-01,2007,5,0.4131138026714325,0.42384999990463257,0.3241658630665381,0.2111089681774349,25925,"-122.8,35.0,-118.2,40.4"
California Central Valley,2007-06-01,2007,6,0.3911094069480896,0.3788500130176544,0.36406483503851017,0.17197379009081504,26097,"-122.8,35.0,-118.2,40.4"
